sku,special_price,special_from_date,special_to_date
ANDRE-PAMMIE-RED-8,78,06/01/2016,06/01/2025
ANDRE-PAMMIE-RED-9,78,06/01/2016,06/01/2025
ANDRE-ROYCE-GOLD,109,06/01/2016,06/01/2025
ANDRE-ROYCE-GOLD-36,109,06/01/2016,06/01/2025
ANDRE-ROYCE-GOLD-37,109,06/01/2016,06/01/2025
ANDRE-ROYCE-GOLD-38,109,06/01/2016,06/01/2025
ANDRE-ROYCE-GOLD-39,109,06/01/2016,06/01/2025
ANDRE-ROYCE-GOLD-40,109,06/01/2016,06/01/2025
ANDRE-ROYCE-GOLD-41,109,06/01/2016,06/01/2025
ANDRE-SUN-A-BLACK,109,06/01/2016,06/01/2025
ANDRE-SUN-A-BLACK-36,109,06/01/2016,06/01/2025
ANDRE-SUN-A-BLACK-37,109,06/01/2016,06/01/2025
ANDRE-SUN-A-BLACK-38,109,06/01/2016,06/01/2025
ANDRE-SUN-A-BLACK-39,109,06/01/2016,06/01/2025
ANDRE-SUN-A-BLACK-40,109,06/01/2016,06/01/2025
ANDRE-SUN-A-BLACK-41,109,06/01/2016,06/01/2025
ANDRE-SUN-A-COBALT,109,06/01/2016,06/01/2025
ANDRE-SUN-A-COBALT-36,109,06/01/2016,06/01/2025
ANDRE-SUN-A-COBALT-37,109,06/01/2016,06/01/2025
ANDRE-SUN-A-COBALT-38,109,06/01/2016,06/01/2025
ANDRE-SUN-A-COBALT-39,109,06/01/2016,06/01/2025
ANDRE-SUN-A-COBALT-40,109,06/01/2016,06/01/2025
ANDRE-SUN-A-COBALT-41,109,06/01/2016,06/01/2025
ANDRE-SUN-A-CORAL,109,06/01/2016,06/01/2025
ANDRE-SUN-A-CORAL-36,109,06/01/2016,06/01/2025
ANDRE-SUN-A-CORAL-37,109,06/01/2016,06/01/2025
ANDRE-SUN-A-CORAL-38,109,06/01/2016,06/01/2025
ANDRE-SUN-A-CORAL-39,109,06/01/2016,06/01/2025
